id,charity_name,logo,rating,financial_transparency,results_reporting,cents_to_cause,city,province,website,Tel,main_category,sub_category,new_overview,new_results_and_impact
155,One Drop Foundation,https://upload.wikimedia.org/wikipedia/commons/c/c1/OD_image_FR.png,4,2,A,58%,Montreal,QC,www.onedrop.org,514-723-7646,International Aid,Clean Water and Sanitation�,"One Drop Foundation (One Drop) was founded in 2007 by Guy Laliberté, the co-founder of Cirque du Soleil. Its mission is to provide sustainable access to water, sanitation, and hygiene (WASH) for communities in need. One Drop uses a three-pronged approach to its WASH programs, consisting of Access, Behaviour Change, and Capital. It funds improvements to local infrastructure, raising access to clean water and sanitation. By funding social art interventions, such as local plays and radio shows, One Drop aims to change behaviours and promote proper hygiene. Finally, it encourages market-based solutions by training local people and businesses in WASH. One Drop groups its programs into four main areas. These include WASH in Latin America, WASH for Special Initiatives, WASH for Health Care Facilities, and WASH in India. WASH in Latin America represented 41% of program costs in F2020. Also known as the Lazos de Agua Program, One Drop’s work in Latin America focuses on providing access to clean water and promoting proper hygiene through art initiatives. In F2020, One Drop states that it helped a total of 26,600 people across five Latin American countries. This included 9,900 people in Paraguay, 7,000 people in Colombia, 4,200 people in Nicaragua, 4,000 people in Mexico, and 1,200 people in Guatemala. WASH for Special Initiatives made up 26% of program costs. One Drop ran three special pilot projects in F2020. In Mali, it launched a new project to promote education among girls in Mali by increasing access to WASH services. The program aims to prevent girls from leaving school due to a lack of clean water or menstrual hygiene supplies. One Drop also runs a program in Burkina Faso to raise public awareness on the harmful effects of open defecation. In Canada, One Drop funds community greenhouses and food boxes to reduce food insecurity. It states that it reached 255,500 people through special projects in F2020. WASH for Health Care Facilities comprised 20% of programs. One Drop helps to improve infrastructure and sanitation services in health care centres. In F2020, One Drop helped to install or improve WASH services in 124 health centres, reaching 177,900 people. In Burkina Faso, the charity helped to build or rehabilitate sinks for eight health care facilities, helping 92,000 people and 159 health workers. WASH in India made up the remaining 13% of program costs in F2020. One Drop works to provide clean water in three regions of India, stating that around 40% of India’s population will lose access to clean water by 2030 due to water shortages. In the district of Sheohar, it provided WASH infrastructure for 140 wards and 11 schools, helping 3,600 students and staff. It also presented 120 street plays on hygiene and sanitation during the year. While the charity does not disclose program costs spent on Canadian programs, from its F2019 T3010 filing with the CRA, it reports spending $8.5m CAD on programs outside of Canada ($6.4m USD). This represented 71% of total program costs during the year.","One Drop states that its programs helped a total of 291,600 people access WASH services in F2020. This included 16,000 people in Mexico and 1,900 people in Columbia who gained access to safe drinking water through new or renovated water systems. In Burkina Faso, One Drop helped 21,500 people build new latrines inside of their homes between 2016 and 2020. It reported that at the end of the project, 98% of these household latrines were still well used and maintained."
156,Operation Eyesight Universal,https://www.charityintelligence.ca/media/charity_logos/Logo2021_OperationEyesight.png,5,2,A-,72%,Calgary,AB,www.operationeyesight.com,403-283-6323,International Aid,"Poverty Alleviation, Hunger and Food Security, Healthcare and Medical Services","Operation Eyesight Universal is a top-rated five-star charity and a top 10 impact charity. It has a high results reporting grade and is financially transparent. The charity does not have high funding reserves and can cover less than two years of program costs. Its overhead costs are in the reasonable range. Founded in 1963, Operation Eyesight Universal (Operation Eyesight) is a development organization that works to prevent blindness and restore sight. Operation Eyesight wants to eliminate avoidable blindness globally. It currently works in Liberia, Ghana, Zambia, Kenya, Ethiopia, India, Nepal, and Bangladesh, and plans to expand to Zimbabwe, Malawi, Tanzania, and Sri Lanka. The charity reports that 1.1 billion people live with vision loss globally, that 90% of vision loss occurs in middle- and low-income countries, and that 90% of all vision loss is preventable or treatable. In F2021, Operation Eyesight spent $3.6m on its charitable programs. A Charity Intelligence 2022 Top 10 Impact Charity Operation Eyesight starts working in an area by partnering with a local hospital and determining the best location in the region to offer services. It then builds vision centres to act as a link between hospitals and the community. Operation Eyesight vision centres offer eye examinations, eyeglasses, and referrals to hospitals. In F2021, it established 31 new vision centres. It also gave out 168,400 pairs of prescription eyeglasses. After establishing vision centres, the charity recruits community health workers from local villages and trains them to identify eye conditions. Operation Eyesight trained 1,127 community health workers in F2021. Health workers conduct door-to-door surveys where they screen community members for eye conditions. They then organize screening camps where hospital workers can re-examine people who have been identified with eye conditions during the surveys. In F2021, the charity screened 1.68 million people for eye conditions. Operation Eyesight treats people with minor eye conditions at the screening camps and refers people with serious eye conditions to a hospital for surgery and further care.  After providing treatment and referrals for people, community health workers complete another round of surveys near the end of the project to ensure all treatable cases have been addressed.  Community health workers also educate families about eye health and other topics such as prenatal care, nutrition and hygiene.","In F2021, Operation Eyesight Universal reports that 29 of the villages it worked in are now avoidable blindness-free. An avoidable blindness-free village is one where all treatable eye conditions have been treated successfully. Operation Eyesight reports that it conducted 168,776 eye surgeries during the year. In Kenya, the charity distributed antibiotics to more than 460,000 people to treat trachoma. To prevent infections that lead to blindness, Operation Eyesight provides clean water to poor communities. It rehabilitated 31 water boreholes in F2021."
157,Opportunity International Canada,https://www.charityintelligence.ca/media/charity_logos/Opp Intl Logo.jpg,4,2,B+,72%,Oakville,ON,www.opportunityinternational.ca,877-867-2448,International Aid,Education and Literacy ,"Opportunity International Canada is a 4-Star charity with a Good impact rating. It has a B+ results reporting grade, which is above average. For every dollar donated to the charity, 72 cents are available to go to the cause, which is within Ci's reasonable range.  Founded in 1998, Opportunity International Canada (OIC) is the Canadian support partner of the US-based Opportunity International. It is a faith-based organization that serves individuals of all beliefs in developing countries. Its mission is to “empower people living in poverty to transform their lives, their children’s futures and their communities” by providing financial resources and training. OIC supports local finance organizations, providing financial resources to create jobs and build communities. Globally, Opportunity International’s microfinance services include loans, savings accounts, microinsurance, and financial training. OIC offers financial products aimed at helping farmers, empowering women, and training local leaders who can share financial knowledge with their communities. It also provides loans to communities that want to improve schools, water sanitation, and other pieces of infrastructure. OIC has three core programs: Micro Enterprise, Education Finance, and Innovation. Micro Enterprise: OIC spent $3.0 million (52% of total program costs) on its Micro Enterprise program in F2022. The charity’s Micro Enterprise program provides small loans, shelter, and finance training to help break the cycle of poverty. The charity states increased incomes help families become food secure, educate their children, and improve health. The charity provided 1.1 million clients with small loans in F2022.  Innovation: OIC spent $565,329 (10% of total program costs) on its Innovation program in F2022. The charity's Innovation program aims to provide technology-based solutions to help provide women with financial stability. OIC reached 147,910 people in F2022. The charity delivered financial literacy training to 4,521 refugees in F2022. Education Finance: OIC spent $454,328 (8% of total program costs) on its Education Finance program in F2022. The charity partners with financial institutions to provide access to Education Finance for schools and communities. OIC states its program helps students stay in school and helps schools make capital investments for development. 170,099 children and educational workers benefitted from its EduFinance program in F2022. The charity implemented EduFinance to schools and families in 25 countries in F2022. OIC enrolled 177 schools in Zambia and 200 schools in the DRC in F2022.",Opportunity International Canada reports that 95% of its clients repay their loans.
158,Ottawa Food Bank,https://www.charityintelligence.ca/media/charity_logos/OFB- Logo.jpg,5,2,A-,83%,Ottawa,ON,www.ottawafoodbank.ca,613-745-7001,Social Services,Food banks and hunger relief,"Ottawa Food Bank is a 5-star charity. It has Good demonstrated impact, reasonable overhead spending and is financially transparent.   Founded in 1984, Ottawa Food Bank collects, buys, grows, and distributes food to people facing food insecurity across the Ottawa region. Ottawa Food Bank is the major distributor for 112 partner agencies and emergency food programs. These include local food banks, food cupboards, meal programs, social service agencies, and after-school clubs.  Ottawa Food Bank’s 2022 Hunger Report researches the root causes of hunger and poverty, including low income, homelessness, and the high cost of living. It states that 1 in 7 households in Ottawa reported experiencing food insecurity in 2022, compared to 1 in 15 in 2017. The report states that 36% of Ottawa Food Bank’s clients are children and youth, 5% of clients are babies under the age of two, and that 7% of clients are seniors.  Ottawa Food Bank’s main program is food distribution. It also runs various community projects, such as fresh produce farming and food recovery programs. In F2022, 84% of total spending went to programs. This amounts to $20.1m. Out of this, 31% went to food purchases, 47% went to food donations distributed, and the remaining 22% went to programs, grants and operations. In F2022, Ottawa Food Bank distributed $9.4m in donated food, household supplies, and hygiene products, and spent a further $6.3m on buying food. Ottawa Food Bank CEO Rachel Wilson said that ""before covid we were spending $2 million a year on food. This coming year we're going to spend $6 million."" In F2022, the Ottawa Food Bank received a total of 403,467 client visits, a 30% increase compared to F2021. In total, it distributed 10.3 million pounds of food during the year (7.1 million in F2021). In F2022, Ottawa Food Bank also gave out 205k pounds of household supplies (134k in F2021) and 248k pounds of diapers (143k in F2021). The charity states that fresh food accounts for 41% of its distributed food. The remainder of its food distributions includes 24% canned goods; 34% cereal, grains, snacks, and desserts; and 1% baby food. In response to the covid-19 pandemic, Ottawa Food Bank created an emergency food hamper program. In F2022, this program helped provide 574k pounds of emergency food supplies. Ottawa Food Bank also runs other community programs. The charity’s KickStart After 4 Clubs program provides healthy snacks to school-aged children. In F2022 it helped provide 57.4k snacks to children through 18 after-school programs. Ottawa Food Bank also has a Baby Basics Program that ensures parents and babies have access to baby food and other supplies, such as diapers and formula. In F2022, Ottawa Food Bank expanded its Summer Nutrition Program, that gives low-income children three nutritious meals a day during the summer. The program reaches 2,650 children weekly. The charity also runs a Community Harvest Farm, which harvested 179.7k pounds of fresh produce during the year. In March 2023, Ottawa Food Bank transferred to a new location. The new warehouse is 51,000 square feet compared to 21,000 square feet for the previous location. CEO Rachel Wilsons states that previously OFB was turning away around ""$80,000 to $100,000 every year of produce"" due to lack of space.","Ottawa Food Bank states that every dollar donated allows it to buy $5 worth of food, thanks to its industry partners and bulk purchases."
159,Ottawa Humane Society,https://ottawahumane.ca/wp-content/uploads/2016/07/ohs-logo-blog.jpg,4,2,B+,66%,Ottawa,ON,www.ottawahumane.ca,613-725-3166 EXT. 221,Animal Welfare,"Medical treatments, Increase public awareness ","Ottawa Humane Society is a 4-star charity with an above average results reporting grade. It is financially transparent and its overhead costs are within Ci's reasonable range for overhead spending. Its reserved funds can cover its program costs for 2.4 years. Founded in 1888, Ottawa Humane Society (OHS) cares for ill, injured and homeless animals in Ottawa. The charity reunites lost pets with their owners and supports rescued pet adoptions. It also provides medical care for animals. Ottawa Humane Society promotes public education and awareness of animal welfare. The charity’s programs include Animal Shelter, Clinics for medical care, and Volunteer and Outreach. Animal Shelter – 60% of program spending  Ottawa Humane Society received 3,236 pets in F2022. This includes 1,885 cats and kittens, 795 dogs and puppies and 556 other pets. The charity did not turn away a single animal in need. It reports a placement rate of 100% for healthy cats and dogs, 98% for treatable cats and dogs, and 99% for rehabilitable cats and dogs. 80.8% of animals brought to the shelter leave alive. Volunteer and Outreach – 20% of program spending In F2022, Ottawa Humane Society had 629 volunteers supporting its programs. They provided 29,375 hours of work. Foster volunteers housed 642 cats, 32 dogs and 107 small animals. Ottawa Humane Society also organizes outreach programs. These include Animal Education for Newcomers to Canada, Pet Savvy and Animal Visits. These programs provide pet ownership and animal care education. The Shelter Buddies program provides support to at-risk youth through interaction with animals. Clinic and Mobile Clinic – 17% of program spending Ottawa Humane Society provides medical care for suffering animals. In F2022, this included 1,341 surgeries, 1,186 spays and neuters, 458 X-Rays and 332 dental procedures. The spay/neuter operations take place in mobile clinics. The charity also microchipped 210 animals and humanely euthanized 683 pets. Euthanized pets have serious medical or behavioural issues or suffer from extreme fear. Community programs, including the child and youth programs, make up the final 3% of program spending. These promote education around animal welfare through birthday parties, camps and field trips.","In F2022, Ottawa Humane Society reports supporting 1,632 adoptions. This includes 1,141 cats and kittens, 152 dogs and puppies and 339 other pets. It also reunited 441 pets with their owners, including 81 cats and kittens, 339 dogs and puppies and 21 other pets. The charity reports that 13% of stray cats brought to the shelter were reunited with their families in F2022. This is an increase compared to 9% in F2021 and 8% in F2020."
160,Ottawa Mission,https://www.charityintelligence.ca/media/charity_logos/OttawaMission_logo.png,4,2,A-,72%,Ottawa,ON,www.ottawamission.com,613-234-1144,Social Services,Homelessness and housing assistance,"Ottawa Mission is a 4-star charity. It has an above-average results reporting score. The charity has reasonable overhead costs and is financially transparent.  Founded in 1906 as Union Mission for Men, the charity was later renamed Ottawa Mission. It provides shelter, food, clothing, job training, and spiritual support to homeless people. Ottawa Mission divides its program spending into five areas: food & shelter, addiction & trauma treatment, client services, health services, and housing services.  Ottawa Mission’s fundraising arm is Ottawa Mission Foundation. This foundation was established in 2010 and is a separately registered charity. In F2022, the foundation granted $5.3m to Ottawa Mission. This year the donations all went in to Ottawa Mission while in previous years they went to both the Mission and the Foundation.  In F2022, emergency food and shelter services made up 55% of program spending. Ottawa Mission sheltered 1,192 people in F2022. The shelter held an average of 160 people each night with a 99% occupancy rate. Ottawa Mission additionally served 938,218 meals in F2022. It expanded its Mobile Mission Meals program to include two foods trucks.  In F2022, client services made up 23% of program spending. These services include employment support, educational support, mental health services, and job training. In F2022, Ottawa Mission helped 125 people with resumes. The Mission’s Stepping Stones Learning Centre helps people earn high school diplomas. During F2022 the Centre had 46 students. The Mission’s Food Services Training Program helps people start their culinary careers. In F2022, the Program had 36 graduates. At graduation, 89% of graduates were employed. The mental health services at the Mission include crisis intervention and relapse prevention. These services helped 158 people in F2022.  In F2022, addiction & trauma services received 11% of program spending. Ottawa Mission’s addiction & trauma services have four major programs. The Day program is a drop-in group for peer support and education. The Hope program is a three-month harm reduction program for men in the shelter. This program had 20 graduates in F2022. Ottawa Mission's abstinence program, Stabilization, had 23 graduates in F2022. Lastly, the LifeHouse program is a residential treatment option for men with addiction and trauma history. This program had 16 graduates in F2022.  In F2022, health services received 6% of program spending. These services include a primary care clinic, a dental clinic, and a hospice. During F2022, Ottawa Mission’s primary care clinic had 16,019 appointments. The dental care clinic had 332 appointments. Its hospice admitted 52 patients.  In F2022, housing services made up 6% of program spending. Ottawa Mission helped find housing for 78 people during F2022. Another 73 people were recommended to different housing services in Ottawa.","In F2022, Ottawa Mission provided 938,218 meals and sheltered 1,192 people. The charity worked to keep community members safe, especially during the harsh winter. Ottawa Mission's four addiction & trauma service programs had 59 total graduates in F2022. Additionally, the Mission runs Discovery University where people take free university courses. In F2022, 77 people graduated from this university program."
161,Our Place,https://www.ourplacesociety.com/wp-content/uploads/2021/01/our-place-logo-green-bg.svg,4,2,A-,73%,Victoria,BC,www.ourplacesociety.com,250-388-7112,Social Services,Homelessness and housing assistance,"Our Place is a 4-star rated charity. It has a high results reporting grade, acceptable overhead costs, and is financially transparent.   Founded in 2007, Our Place is a Christian charity that helps people overcome homelessness, addiction, poverty, and mental health challenges. This charity is based in Victoria, BC, and manages emergency shelters, transitional housing units, and a drop-in centre. Our Place reported that there were 1,523 homeless people in March 2020. Of these people, the majority were 25-55 years old, male, and had health challenges.   Our Place has three main programs: Nourishing Change, Compassionate Outreach, and Housing & Shelter. The charity does not disclose how much was spent on each program.   Through its Nourishing Change program, the charity provides meals for its clients. Our Place serves three meals a day out of its main location. It also delivers food to residents in its transitional housing and shelters. In F2022, Our Place served 389,600 meals. It served about 1,000 snacks each day.  The charity’s Compassionate Outreach program provides clothing, toiletries, counselling, employment services, health care, and additional resources to those in need. In F2022, Our Place performed 4,635 medical assessments. It conducted 196 overdose reversals and 82 detox referrals for those fighting addictions. It also provided space for 12,377 hot showers. This program includes a Message and Mail Centre which allowed over 400 people to receive mail and phone messages during F2022.   Our Place’s Housing and Shelter program provides emergency shelter and long-term housing to people experiencing homelessness. The charity has seven housing units, including a Tiny Home Village added in May 2021. These units vary from a night shelter with 15 bunkbeds to a permanent supported housing site with space for 52 residents.","In F2022, Our Place served 389,600 meals to people in need. With housing, Our Place reports that in F2022, it housed over 500 people."
162,Ovarian Cancer Canada,https://ovariancanada.org/wp-content/uploads/2022/06/logo-1.png,4,2,B,70%,Toronto,ON,www.ovariancanada.org,877-413-7970,Health,"Medical Research, Palliative care, Patient support and advocacy charities�","Ovarian Cancer Canada is a 4-star rated charity with an average results reporting grade. The charity is financially transparent and has reasonable overhead costs. Founded in 1998, Ovarian Cancer Canada (OCC) raises funds and awareness for ovarian cancer research and supports individuals living with the disease. The charity reports that each year, 3,100 Canadians will be diagnosed with the disease. Additionally, OCC reports that ovarian cancer is the fifth most commonly diagnosed cancer for women. The charity operates three main programs: Research, Awareness and Education, and Prevention. Research accounted for 72% of program spending in F2022. In F2021, the charity launched four new clinical trials exploring PARP inhibitors, a new family of drugs being used to treat ovarian cancer. Between March 2019 and March 2021, OCC funded 23 cancer research projects. The charity also operates a Tissue Banking Network in Montreal, Ottawa, Edmonton, and Vancouver. In F2021, 1,140 women with ovarian cancer agreed to contribute to the Tissue Banking Network. Awareness and Education made up 21% of program spending in F2022. The charity funded two major studies in F2021 to improve care: The Every Woman Study: Canadian Edition and The State of the National Clinical Audit. Both studies aim to increase equity and identify gaps in the healthcare system. Prevention accounted for the remaining 7% of program spending in F2022. In F2021, OCC surveyed genetics counsellors, gynecologic surgeons, and women who have received genetic counselling and surgery. The charity held one-on-one interviews with 19 women from 7 provinces. Ovarian Cancer Canada has not yet posted its 2022 annual report at the time of this update. These results refer to information published in 2021.","The Ovarian Cancer Canada (OCC) Tissue Banking Network is a virtual network of tissue banks located in Vancouver, Ottawa and Montreal. Montreal is a hub for four cities in the province of Quebec. According to a report from 2017, 29 publications in internationally recognized scientific journals reported the results from studies using tissue bank samples. Research topics include PARP inhibitors, fallopian tube imaging, and others."
163,Pacific Assistance Dogs Society,https://pads.ca/wp-content/uploads/2018/06/PADSlogo-primary-blue-1.png,4,2,B-,82%,Burnaby,BC,www.pads.ca,604-527-0556,Social Services,Mental wellness,"Pacific Assistance Dogs Society is a 4-star charity. It is financially transparent, has overhead spending within Ci's reasonable range and below-average results reporting.  Founded in 1987, Pacific Assistance Dogs Society (PADS) supports people with disabilities and community care providers by partnering them with certified assistance dogs. The charity breeds, raises, and trains the dogs before partnering them with someone in need.   Pacific Assistance Dogs Society trains five categories of assistance dogs: Service Dogs, PTSD Dogs, Hearing Dogs, Facility Dogs, and VIP dogs. Service Dogs help people with disabilities perform daily activities such as opening and closing doors, switching lights on and off, and carrying groceries. Post-Traumatic Stress Disorder (PTSD) Dogs support First Responders and Veterans with C-PTSD or PTSD by providing physical, calming, and grounding skills. Hearing Dogs alert their owners to sounds, including doorbells, telephones, and smoke alarms. Accredited Facility Dogs assist community care professionals in situations where dogs can provide physical, social, or emotional improvements to groups or individuals. Finally, VIP Dogs are dogs unsuitable for working with clients in public but can provide companionship to children or adults with disabilities.","In F2021, Pacific Assistance Dogs Society matched and placed 13 new teams of support dogs and owners. Based on total spending, this amounts to $159k per match."
164,Pacific Salmon Foundation,https://psf.ca/wp-content/uploads/2022/04/PSF-Logo-2022-min.png,4,2,B,65%,Vancouver,BC,www.psf.ca,604-664-7664,Environment,"Nature conservation, Animal protection","Pacific Salmon Foundation is a 4-star charity with an average results reporting score. It is financially transparent and has overhead costs just within Ci’s reasonable range.  Founded in 1987, Pacific Salmon Foundation (PSF) aims to conserve, restore, and enhance Pacific salmon and their ecosystems in British Columbia and the Yukon. PSF funds habitat restoration projects, raises awareness, and promotes sustainable practices to protect wild salmon.  The Marine Science Program represented 33% of program spending in F2022. The program aims to understand why Pacific salmon populations have been declining in the Salish Sea. In F2022, PCF launched its Strait of Georgia Marine Reference Guide which is an online tool that helps people learn about the marine environment in the Strait of Georgia. In F2022, 10,520 users accessed the tool online. The charity is also evaluating the effectiveness of hatcheries and reviewed 21 Chinook and 16 Coho hatcheries in F2022. PCF’s Salmon Watersheds Program represented 21% of program spending in F2022. The program focuses on research into conserving and monitoring salmon, and making this information easily available. The Pacific Salmon Explorer is a data-visualisation tool with information on the state of salmon in British Colombia. As of F2022, 92% of BC’s salmon population was represented on the Pacific Salmon Explorer. The charity has also launched a pilot project which uses artificial intelligence to monitor salmon. As of F2022, the project had 530,000 labelled images. The Climate Adaptation program made up 16% of program spending in F2022. The charity focussed on three projects in F2022: the Forest Fire Playbook, Genetic Adaptability, and Assessing Fraser River Migration Impediments. The charity’s Community Salmon program made up 13% of program spending in F2022. Through this program, PCF funds schools, First Nations, and conservation organizations to save and restore Pacific salmon populations. PCF’s High Seas Expedition was 11% of program spending in F2022. The charity’s High Seas research investigates salmon and ecosystem health through the salmon’s life cycle. The remaining 6% of program spending went to the charity’s other programs including Percy Walkus Hatchery (Rivers Inlet program), Stewardship Community Bursary, and Provincial Portfolio.","Pacific Salmon Foundation reports that through projects funded by its Community Salmon Program, 235,000 m2 of salmon habitat has been restored. The charity also reports that in F2022, a de-watered channel on the Adams River was successfully restored. The Adams River serves as a crucial spawning ground for salmon and relies on side channels for spawning. Additionally, through its Strategic Salmon Health Initiative (SSHI), the charity carried out research that helped secure the federal government’s commitment to transition away from open-net aquaculture in B.C. by 2025."
165,Partners In Health Canada,https://pihcanada.org/wp-content/uploads/2020/04/pih_canada_logo_orange.png,4,2,B-,91%,Toronto,ON,www.pihcanada.org,416-646-0666,International Aid,Healthcare and Medical Services�,"Partners in Health Canada is an 4-star charity with low overhead costs and best practices in financial transparency. Its annual report and accountability to donors is below average which is shown in the B- results reporting grade.  Started in 2011, PIH Partners In Health Canada (PIH Canada) is a sister organization of Partners in Health (PIH), a U.S. based charity. PIH establishes relationships with sister organizations in 12 countries to bring modern medicine to the sickest and poorest communities. PIH believes that access to quality care is a universal human right.  In F2021, PIH Canada focused on five program areas: Emergency Response (covid-19 response); Women’s Health; Children’s Health; Community Health Workers (CHWs); and Cancer and Chronic Diseases. In Haiti, Zanmi Lasante (PIH’s Haitian sister organization) runs 14 sites that provide medical care for gender-based violence. In Liberia, PIH opened a new maternity ward in F2021.  In Peru, Socios En Salud (Peru’s branch of PIH) tested 41,330 people for covid-19 and provided care to 18,000 people who tested positive. In one Mexican village, Compañeros En Salud (Mexico’s branch of PIH) successfully vaccinated 500 people against covid-19 over the course of two days. In F2021, PIH Malawi developed and implemented a psychological first-aid training that it delivered to 1,200 CHWs. These CHWs served a population of 140,000 people. PIH Malawi also trained CHWs to address maternal and neonatal health, STDs, family planning, tuberculosis, pediatric malnutrition, and non-communicable diseases. These CHWs see an average of 1,800 patients per month. In Rwanda, PIH’s Butaro Cancer Centre of Excellence has served over 10,000 patients in the past eight years.","PIH reports that in Sierra Leone, a woman faces a 1 in 20 chance of dying in childbirth. At PIH’s model primary care facility in Sierra Leone there have been zero maternal deaths since 2016. The facility has also seen a 38% increase in prenatal care uptake and a 69% increase in facility-based deliveries. Given the success of this clinic, PIH plans to construct a 120-bed Maternal Centre of Excellence in Sierra Leone."
166,Partners in Mission Food Bank,https://www.charityintelligence.ca/media/charity_logos/PartnersinMission logo.jpg,5,2,A,94%,Kingston,ON,www.kingstonfoodbank.ca,613-544-4100,Social Services,Food banks and hunger relief,"Partners in Mission Food Bank is a 5-star charity with High impact. The charity has an average results reporting grade and is financially transparent. Partners in Mission Food Bank has $2.9m in funding reserves which can cover annual program costs for 4.6 years.  Founded in 1984, Partners in Mission Food Bank collects, buys, and distributes food across the Kingston area. In 2021, 5,694 people used a food bank a total of 24,621 times in Kingston and surrounding areas. Partners in Mission provides food mainly through its food hamper program, which prepares bundles of food for single clients, small families, and large families. Partners in Mission also donates surplus food to 18 other agencies in Kingston.  A Charity Intelligence 2022 Top 10 Impact Charity In F2021, Partners in Mission Food Bank distributed $2.8m worth of donated food and spent $205k on food purchases.   Partners in Mission delivers food hampers to food insecure clients. It interviews clients to determine their level of need and offers seven-day food supplies to eligible recipients. It offers three different types of food hampers to accommodate varying family sizes. Hampers include a mix of both non-perishable and fresh foods, such as milk, eggs, fruits, and vegetables. Partners in Mission also provides baby supplies and pet food upon request.  The charity distributed 14k hampers in F2021 which was a 23% increase from F2020. The Food Bank helped 6k people in F2021 and of those people, 30% were children. Partners in Mission Food Bank also distributed 47k pounds of food to 18 other agencies in the Kingston area.","In F2021, Partners in Mission donated 47k pounds of food to local meal programs and shelters. It also distributed 14k food hampers of various sizes containing items such as four single servings of soup, two cans of fish, and two boxes of pasta."
167,Pathways Clubhouse,https://pathwaysclubhouse.com/wp/wp-content/uploads/pathways-clubhouse-logo.svg,4,2,B,71%,Richmond,BC,www.pathwaysclubhouse.com,604-276-8834,Social Services,Homelessness and housing assistance,"Founded in 1984, Pathways Clubhouse works to remove the stigma around mental illness and promote mental wellness in Richmond, British Columbia. The Clubhouse is a supportive community where members recover from mental illnesses, find jobs, connect with their families, and make friends. Pathways Clubhouse offers various services for youth and adults, including housing, employment, food, education, wellness, and social activities. The charity does not provide a breakdown of spending on its programs. Pathways Clubhouse’s Supported Housing Program helps people living with mental illness in the Richmond community find access to financial, community, and mental health support. The charity’s Supported Independent Living subsidy provides up to $375 for individuals to use towards their rent. Additionally, Pathways Clubhouse works with BC Housing to offer a subsidy program that allows individuals to pay 30% of their household income or a flat rent fee towards their housing. BC Housing covers the remaining rent. Pathways Clubhouse also owns and operates a 24-unit townhouse complex in Richmond. Pathways Clubhouse believes every person with a desire to work has the right to gain paid employment. As such, the charity offers Transitional, Supported, and Independent Employment programs that offer varying amounts of support to members and employers. In F2020, 21 people worked in Transitional Employment, 21 worked in Supported Employment, and 54 worked in Independent Employment. Pathways Clubhouse’s other programs include Public Education, Wellness, Food Services, Chinese Support, and more. In F2020, the charity served over 15,000 meals, hosted a 45-person event about resilience in children, and welcomed almost 50 people to an event about adverse childhood experiences. For the past thirteen years, Pathways Clubhouse has helped over 500 Chinese-speaking individuals affected by mental illness.","In F2020, Pathways Clubhouse helped find or maintain housing for 117 people affected by mental illness. Through its Independent Employment program, Pathways Clubhouse helped 54 people secure jobs."
168,Peace Arch Hospital Foundation,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSNPysQ3JCOZBqbD1NlHkI4m-BZgJfRS7x8H98SIu6&s,4,2,B,87%,White Rock,BC,www.pahfoundation.ca,604-535-4520,Health,"Hospital Foundation, Healthcare access and equity ","Founded in 1988, Peace Arch Hospital Foundation (PAH Foundation) raises money to improve people's health in the White Rock and South Surrey areas of British Columbia. The majority of grants from the Foundation are received by Peace Arch Hospital (PAH) to fund building upgrades, medical equipment purchases, and improve patient comfort. The hospital treats more than 50,000 patients in the ER, delivers over 1,000 babies, and performs roughly 9,000 surgeries each year. In F2021, PAH Foundation allocated 84% of grants to the renovation of PAH’s emergency department and operating rooms. According to the Foundation, PAH’s previous ER was built to serve 20,000 patients, yet served 50,000 patients in 2013. As a result, PAH Foundation funded the construction of a new emergency department three times larger. Additionally, the Foundation renovated five new surgical suites to serve the 30,000 ER patients who require surgery each year, and opened the PAH Foundation Lodge, a 200-bed long-term care facility. PAH Foundation allocated 9% of total grants to medical equipment in F2021. Major purchases include an upgraded CT scanner, a germ-killing UV robot, and a portable ultrasound machine. In the upcoming years, the Foundation plans to provide various equipment like an MRI machine, a defibrillator, trauma stretchers, and a portable x-ray machine. In F2021, PAH Foundation allocated 6% of grants to improve health outside of the hospital. The grants are used to educate people about healthy living and decrease inactivity. By providing community grants, PAH Foundation works to prevent hospital visits, as an inactive person spends an average of 38% more days in hospital than an active person. The remaining 1% of grants were allocated to other projects that were not discussed.","In F2021, PAH Foundation completed the renovation of PAH’s emergency department and operating rooms. The Foundation reports that the added space and equipment will allow the hospital to perform 25% more acute surgical procedures and 32% more outpatient surgical procedures."
